Bold Text,Description
"cooperative, cooperate, cooperation",as in “I still shop at the Co-op”
co-opt,"when talking about Robert Owen, the Rochdale Pioneers, etc"
coordinate,(abbreviation:  co-op ) as in a housing co-operative
co-pilot,"when used in a general sense, as in “they were surprisingly cooperative when asked to work longer hours for less money”"
cop-out,
Cop26,
copy editor,captain and first officer are preferable to pilot and co-pilot (they are both pilots)
copyright,
"Corbusier, Le","avoid COP26, Cop 26 or any other variation"
Córdoba,"what subeditors are known as in the United States and Canada, where they copy- edit"
cords,but  copywriter
cornflakes,"(1887-1965) Swiss architect and city planner, born Charles-Edouard Jeanneret"
Cornish pasty,
coronavirus outbreak 2019-20,"vocal, spinal, umbilical, trousers;  chords  musical"
coroner’s court,in general but Kellogg’s Corn Flakes
corporation of London,
corps de ballet,"The virus is officially called Sars-CoV-2 and this causes the disease Covid-19.However, for ease of communication we are following the same practice as the WHO and using  Covid-19  to refer to both the virus and the disease in our general reporting. It can also continue to be referred to as the coronavirus."
cortege,
cosmetic surgery,
Council of Europe,
councillor,no accent
councillor or counsellor?,"is not the same as plastic surgery, which should be reserved for people treated for deformity or illness"
councils,"not an EU institution so not to be confused with the European Council or the Council of the European Union, which are (see entry for  European Council )"
count ‘em,"use as a description, not a title, eg the councillor Jacqueline Weaver, followed by Weaver at subsequent mentions, not Cllr Weaver"
"counteract, counterattack, countermeasures, counteroffensive","A councillor serves on a local council; a counsellor offers advice. Just to confuse everyone, a member of the privy council is a privy counsellor"
County,"Only the placename takes a capital: Lancaster city council, London borough of Southwark, Kent county council, etc; it is normally sufficient to say Lancaster council, Southwark council, etc"
coupe,"cliche often seen in parenthesis after a number is mentioned. For example, an article referred to “the seminal Andrex puppy advent calendar with 25 – count ‘em – puppy pictures ... “"
courts,but  counter-terrorism
court martial,"not Co, when referring to counties eg County Armagh"
court of St James’s,no accent
couscous,"all lc, eg court of appeal, court of session, high court, magistrates court (noapostrophe), supreme court, European court of human rights, international criminal court"
cover up,plural  courts martial
co-worker,
cows,
CPAC,verb;  cover-up  noun
CPRE,"colleague (but not “work colleague”) is generally preferable, but if you do use it, include the hyphen to stop it looking like someone who orks cows"
CPS,are female. Cattle are male and female
"Cradock, Fanny ",Conservative Political Action Conference
"crapulent, crapulous",Campaign to Protect Rural England (formerly the Council for the Protection of Rural England)
crash or collision,Crown Prosecution Service
creche,
credible,"drunk; hence  crapula , hangover"
credulous,"both are more objective than, and therefore usually preferable to, the term accident when describing traffic incidents. Unless the full circumstances are known, say that vehicles collided, rather than that one vehicle crashed into another, but use common sense so as to avoid sentences such as: “The car and the pedestrian collided on the pavement”"
"creme brulee, creme fraiche, creme de la creme",no accent
crescendo,"believable, hence credibility; incredible means unbelievable"
cretinism,"gullible, hence credulity; incredulous means amazed"
cricket,
Crimean Bridge,"a gradual increase in loudness or intensity; musically or figuratively, it is the buildup to a climax, not the climax itself (we frequently get this wrong)"
"cripple, crippled","a medical condition, not a term of abuse"
Crispr-Cas9,"leg-side, leg-spinner, off-spin, off-stump, silly mid-on, mid-off, etc, all hyphenated"
crisscross,"the official name for the bridge between Russia and Crimea, which you can refer to informally as the Kerch bridge. It crosses the Kerch strait"
criterion,offensive and outdated when referring to people but can be used judiciously in a metaphorical context eg the crippled economy
critique,followed by Crispr at subsequent mentions for the gene-editing tool
crocodile-infested,
Crombie,plural  criteria
CrossFit,"a noun meaning review, rather than a verb meaning criticise"
"crowdfunding, crowdsourcing",please avoid. You can say “crocodile-filled waters” instead
"Crowley, Aleister","TM; the company’s wool coats have been popular with, among others, the Confederate army in the 1860s and mods in the 1960s"
"crown, the; crown estate, crown jewels",TM; fitness ‘philosophy’ combining exercises from various disciplines
crown dependencies,
crucifix,dead satanist
"crucifixion, the",
Crufts,The Isle of Man and the bailiwicks of Jersey and Guernsey in the Channel Islands. They are self-governing possessions of the crown recognised internationally as “territories for which the United Kingdom is responsible”.Each has a chief minister as head of government and a legislative assembly which can pass laws subject to royal assent through the privy council.Do not confuse them with the 14 British overseas territories (BOTs)
cruise missile,not synonymous with cross: a crucifix depicts the body of Christ on the cross
"Crusades, the",
"Cruz, Penélope",
cryonics and cryogenics,
"cubism, cubist",
Cub scouts,
cuckoo clock,"Cryonics is the broad term for the freezing of human or animal corpses in the hope of restoring them to life in future; cryogenics is the more specific scientific study of the production of very low temperatures and how materials behave at these temperatures. As an example, a person can announce they wish to be cryogenically frozen, but their decision may restart the debate about the ethics of cryonics"
cucumiform,
cull,"boys (and now girls) aged from eight to 10, organised in packs but no longer known as “Wolf Cubs”; avoid dated “Dyb Dyb Dyb, Dob Dob Dob” jokes but if relevant, it is spelt thus (it stands for “do your best” and we will “do our best”), and not “Dib”"
Cultural Revolution,"originated in Germany, not Switzerland"
CULV,cucumber-shaped
cum,"means pick or choose as in “culled from the best authors”. It doesn’t mean killed, axed or massacred (though you cull sheep in order to kill them). So a jobs cull does not mean the same as mass sackings"
Cumberland sausage,launched by Mao Zedong in China in 1966
"Cummings, EE",consumer ultra-low voltage
"Cup, FA","Latin for “with”, seen in such placenames as Chorlton-cum-Hardy, and phrases suchas cross-cum-shot (in football) and cookbook-cum-autobiography – unfortunately, we wrote “cookbook-come-autobiography”"
cupful,"It now has protected status, and must be made in Cumbria; hence capital C"
curate’s egg,"US poet (1894-1962) who, despite what many people think, used capitals in his signature – so don’t call him “ee cummings”"
curb,after first mention it is the Cup; but other cups are lc on second mention
currencies,"The plural is cupfuls, as with spoonfuls, but it’s three cups full, three spoons full"
currently,"Used nowadays to mean good in parts (“this was a curate’s egg of a match”), the expression originally, and more subtly, meant to deliberately gloss over the truth – the curate was trying to spare his bishop’s feelings, or perhaps his own embarrassment, when served a bad egg, by saying: “Oh no, My Lord, I assure you! Parts of it are excellent!” (cartoon in Punch, 9 November 1895)"
cusp,restrain;  kerb  pavement
custody,"for most currencies – for example yen, yuan, afghani – we spell out the full name rather than use a symbol or abbreviation, eg 100 yuan, 100,000 yen. Exceptions are the pound, the euro and dollars. For currencies we habitually refer to with their nationality, such as Swiss francs, you don’t need to keep repeating the nationality or, indeed, to state it at all if it is clear from the context whose currency you are referring to – just say 100 francs.Whenever the whole word for a currency is used it is lc: euro, pound, sterling, dong, etc. Abbreviate dollars like this: $50 (US dollars); A$50 (Australian dollars); HK$50 (Hong Kong dollars); C$50 (Canadian dollars). In stories where there may be confusion between US dollars and the local dollar, say US$ for clarity.Convert all foreign amounts to sterling (or the local dollar if you are working in the US or Australia) in brackets at first mention, but use common sense – there is no need to put £500,000 in brackets after the phrase “I feel like a million dollars.”You can add more than one currency conversion in brackets, where appropriate, for a global story with a wide online readership. For example: “Unilever is to cut 7,500 jobs globally and spin off its ice-cream division as part of an overhaul aimed at saving about €800m (£680m, $850m) over the next three years.” But please try to avoid making this conversion in the introduction or furniture.Take care when converting old money to new: some of our attempts have been meaningless, in that they have ignored the relative value of sums involved. We said in an obituary, for example, that Ronnie Barker was paid £1 9s (£1.45) a week for his first job in 1947 – a comparison of average earnings would convert that to around £113 today.Similarly, in converting the price of a “four shilling dish of rice and vegetables” in 1967 to 20p in today’s money we forgot to allow for its relative value; taking into account changes in the retail price index it would now be worth £2.23.There are some excellent websites to assist with such conversions"
"Customs, Revenue & Customs","“now” is usually preferable, if needed at all"
cutbacks,"a place where two points meet (eg “on the cusp of Manchester and Salford”, “on the cusp of Taurus and Gemini”), which may be extended metaphorically to a place or time where two things or groups of things come into contact, as in this elegant example from the Review: “It was a world caught on the cusp between postwar recession, stasis and a dying moral code, and the colour, mobility and licence of the 60s.”Writers who use cusp under the impression that it is a clever way to say on the brink of or about to (“on the cusp of adolescence”, “on the cusp of the final”, “tanker drivers are on the cusp of striking over a coming supermarket-led cut in their wages”, “the garlic was on the cusp of bursting into a constellation of white stars”) are, sadly, mistaken"
C-word,no longer used in cases involving the care of children; use child arrangements or residence instead
"cyberbully, cybercafe, cybercrime, cyberlocker, cybernetics, cyberpunk,",(singular) but customs officers
"cyber-army, cyber-attack",avoid; cuts will suffice
Cyprus,"can be spelt out in full, but should be used only when relevant (for example in the trial of a footballer accused of calling a rival player a “black cunt”)"
the Czech Republic,"cybersecurity, cybersex, cyberspace, cyberterrorism, cyberwar"
,
,"Cyprus, properly known as the Republic of Cyprus, joined the EU in 2004, 30 yearsafter Turkey invaded the northern part of the island, which should be referred to as “Turkish-occupied northern Cyprus” (the self-styled “Turkish Republic of Northern Cyprus” is recognised only by Turkey)"
,
,
