Bold Text,Description
"al-Assad, Bashar","became president of Syria in 2000 after the death of his father, Hafez al-Assad"
"assassin, assassination","the murder of prominent political figures rather than, say, celebrities"
assisted dying,is preferable to “assisted suicide”
"astrologer, astrology",horoscopes
"astronomer, astronomy",telescopes
astronomer royal,currently Lord Rees
astronaut,someone who is trained for travelling in space
Asunción,capital of Paraguay
asylum seeker,"Someone seeking refugee status or humanitarian protection; there is no such thing as an “illegal asylum seeker”, a term the Press Complaints Commission ruled in breach of its code of practice.Refugees are people who have fled their home countries in fear for their lives, and may have been granted asylum under the 1951 refugee convention or qualify for humanitarian protection or discretionary leave, or have been granted exceptional leave to remain in Britain.Someone who is refused asylum should be referred to as a refused asylum seeker, not a “failed asylum seeker”.An asylum seeker can become an illegal immigrant only if he or she remains in Britain after having failed to respond to a removal notice"
Atacms,"for the missiles, not ATACMS. It’s short for army tactical missile system"
ATCU,"Associated Train Crew Union; not to be confused with ACTU, the Australian Council of Trade Unions"
athletics,"also known (particularly in the US) as track and field.1500m but 5,000m (the former is the “fifteen hundred” not “one thousand five hundred” metres)"
Atlantic Ocean,or just the Atlantic
attache,no accent
attention deficit hyperactivity disorder,ADHD after first mention
"Attlee, Clement","(1883-1967) Labour prime minister 1945-51, often misspelt as Atlee"
attorney general,"lc, no hyphen; plural  attorneys general"
auger,used to make holes
augur,predict or presage
Aum Shinrikyo,means Supreme Truth sect
Aung San Suu Kyi,"Use her full name (as with other Burmese names), even on second and subsequent mentions, in copy; if absolutely necessary, Suu Kyi is permissible in headlines"
Auntie,not Aunty if you must refer to the BBC in this way
au pair,
Auschwitz,"a Nazi death camp in German-occupied Poland, not a Polish death camp (see entry on “Polish death camps”)"
Australasia,Oceania is preferable.  See Oceania
Australian Labor party,not Labour
autism,"Autism is a neurodevelopmental condition, not an illness. Use only when referring to the condition, not as a term of abuse or in producing such witticisms as “mindless moral autism” and “Star Wars is a form of male autism”, both of which have appeared in the paper"
autistic people,"largely regard autism as a fundamental part of who they are, so dislike being described as having autism, or being people with autism/living with autism. Whenever possible, ask a person how they prefer to be described. (Further reading: National Autistic Society guidance on writing about autism )"
"autocorrect, autocomplete",but  auto-predict
Autocue,TM; teleprompter is a generic alternative
Auto-Tune,"TM; also Auto-Tuned, etc"
autumn,
autumn statement,
AV,the alternative vote electoral system
avant garde,no hyphen
"average, mean and median","Although we loosely refer to the “average” in many contexts (eg pay), there are two useful averages worth distinguishing.What is commonly known as the average is the mean: everyone’s wages are added up and divided by the number of wage earners. The median is described as “the value below which 50% of employees fall”, ie it is the wage earned by the middle person when everyone’s wages are lined up from smallest to largest. (For even numbers there are two middle people, but you calculate the mean average of their two wages.)The median is often a more useful guide than the mean, which can be distorted by figures at one extreme or the other"
awaken,"Say “I woke up”, “I was woken up” and so on because the forms starting with A are either considered wrong (“I was awoken”) or sound wrong (“I was awakened”). The US grammarian Bryan A Garner says: “The past-tense and past-participial forms of ‘wake’ and its various siblings are perhaps the most vexing in the language.”Exception: Star Wars: Episode VII – The Force Awakens"
awards and prizes,"are generally lc, eg Guardian first book award, Nobel peace prize (but note Academy Awards) lc for categories, eg Colin Firth won the best actor Oscar, Chipmunk was voted best newcomer at the 2008 Mobos, etc"
awol,"stands for “absent without leave” but, having been around since at least the 1920s, has established itself as a word in its own right"
awopbopaloobop alopbamboom,"from Little Richard’s Tutti Frutti (1955), a recording that has been described as “the sound of the birth of rock’n’roll”"
axing,"not axeing, but cutting jobs is less cliched than axing them"
axis,plural axes
Ayers Rock,is now  Uluru
Azerbaijan,"noun, Azerbaijani adjective; note that there are ethnic Azeris living in, for example, Armenia"
"Aznar, José María",former prime minister of Spain
